time [s],adc_buf[0],
4.7062,2045,
4.70791,2043,
4.70962,2040,
4.71127,2042,
4.7136,2038,
4.7156,2043,
4.71762,2035,
4.71927,2034,
4.7216,2041,
4.72318,2037,
4.72518,2042,
4.72685,2040,
4.72861,2041,
4.7306,2040,
4.7326,2039,
4.73461,2046,
4.7366,2041,
4.7386,2040,
4.7406,2045,
4.74255,2039,
4.74462,2041,
4.74661,2037,
4.7486,2041,
4.7505,2037,
4.7522,2045,
4.75418,2041,
4.75619,2035,
4.75822,2036,
4.75955,2036,
4.76102,2038,
4.76335,2036,
4.76519,2037,
4.76718,2038,
4.7686,2037,
4.7706,2039,
4.7726,2039,
4.77462,2037,
4.77661,2041,
4.77861,2041,
4.7806,2043,
4.78263,2035,
4.7846,2037,
4.78648,2035,
4.78818,2040,
4.79019,2039,
4.79219,2037,
4.79418,2038,
4.79619,2041,
4.79819,2043,
4.80018,2038,
4.80218,2029,
4.80418,2039,
4.8062,2041,
4.80784,2041,
4.80941,2041,
4.8116,2044,
4.81417,2040,
4.81619,2036,
4.81818,2032,
4.82018,2047,
4.82191,2042,
4.82419,2033,
4.8262,2041,
4.82819,2037,
4.83021,2043,
4.83218,2034,
4.83418,2036,
4.8362,2037,
4.83819,2040,
4.84018,2034,
4.84218,2040,
4.84421,2036,
4.84622,2037,
4.84861,2039,
4.8506,2042,
4.8526,2041,
4.85449,2037,
4.85661,2041,
4.85819,2041,
4.85961,2040,
4.86149,2037,
4.86361,2038,
4.86561,2042,
4.8676,2040,
4.86961,2039,
4.8716,2039,
4.87362,2040,
4.87561,2047,
4.87719,2040,
4.87918,2037,
4.88118,2036,
4.88318,2051,
4.88519,2039,
4.88721,2044,
4.8892,2039,
4.89121,2034,
4.89325,2038,
4.89519,2042,
4.89719,2039,
4.89919,2050,
4.90118,2039,
4.90285,2035,
4.90461,2049,
4.90662,2033,
4.90861,2044,
4.91058,2036,
4.9126,2040,
4.9146,2041,
4.9166,2032,
4.91854,2035,
4.9202,2042,
4.92219,2045,
4.92461,2037,
4.92657,2056,
4.92819,2038,
4.93019,2040,
4.93219,2042,
4.93423,2040,
4.93662,2040,
4.93861,2040,
4.94019,2037,
4.94222,2036,
4.94422,2040,
4.94585,2039,
4.9476,2035,
4.94962,2040,
4.9515,2041,
4.9536,2049,
4.95561,2043,
4.9576,2043,
4.95968,2048,
4.9616,2051,
4.96362,2038,
4.9656,2049,
4.96762,2039,
4.96961,2039,
4.97161,2045,
4.9736,2025,
4.97561,2039,
4.97761,2042,
4.97961,2037,
4.98163,2037,
4.98319,2044,
4.98522,2039,
4.98656,2038,
4.98861,2039,
4.99062,2041,
4.99261,2036,
4.99461,2041,
4.9966,2041,
4.99862,2037,
