time [s],adc_buf[0],
15.1595,1698,
15.1616,1716,
15.1632,2015,
15.165,2134,
15.167,2008,
15.1689,1797,
15.1709,1724,
15.173,1630,
15.1749,1763,
15.1769,1673,
15.1789,1657,
15.181,1806,
15.1829,1722,
15.1849,1600,
15.1869,1781,
15.1889,1719,
15.1909,1626,
15.193,1735,
15.1949,1700,
15.1966,1649,
15.1985,2077,
15.2005,2187,
15.2025,1448,
15.2045,1687,
15.2065,2088,
15.2089,1871,
15.211,1730,
15.2129,1662,
15.215,1640,
15.2169,1723,
15.2189,1725,
15.221,1561,
15.2229,1764,
15.2249,1674,
15.227,1612,
15.229,2112,
15.2308,1667,
15.233,1939,
15.2345,1713,
15.2366,2093,
15.2386,1881,
15.2402,2078,
15.2425,1656,
15.2445,1906,
15.2465,1735,
